"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",Power Cable For Direct Burial Xlpe Ugac Cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,BID NO: GEM/2018/B/137723
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:21:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:25:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,13-12-2018 06:45:pm,24-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",Power Cable For Direct Burial Xlpe Ugac Cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:21:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:25:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,13-12-2018 06:45:pm,24-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",Power Cable For Direct Burial Xlpe Ugac Cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:21:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:25:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,13-12-2018 06:45:pm,24-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Railways
Na
Stores Ncr Hq N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1200,11-12-2018 03:37:pm,24-12-2018 12:00:pm,Technical Evaluation,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Railways
Na
South Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,10-12-2018 06:15:pm,24-12-2018 11:00:am,Technical Evaluation,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Home Affairs
Central Armed Police Forces
Chandigarh Border Security Force (bsf)",Power Cable For Direct Burial Xlpe Ugac Cable,400,12-12-2018 06:21:pm,24-12-2018 10:00:am,Financial Evaluation,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
"Ministry Of Petroleum And Natural Gas
Indian Oil Corporation Limited
Iocl Marketing Sro Sankari Terminal Marketing Division",Power Cable For Direct Burial Xlpe Ugac Cable,1200,12-12-2018 04:53:pm,22-12-2018 07:00:pm,Bid Award,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Defence
Department Of Defence
Commander Works Engineer, Bathinda N/a","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable",855,12-12-2018 01:21:pm,22-12-2018 03:00:pm,Bid Award,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Railways
Na
Stores Ncr Hq N/a",Power Cable For Direct Burial Xlpe Ugac Cable,600,11-12-2018 05:28:pm,21-12-2018 08:00:pm,Not Evaluated,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,11-12-2018 03:07:pm,21-12-2018 06:00:pm,Not Evaluated,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,11-12-2018 03:19:pm,21-12-2018 06:00:pm,Not Evaluated,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Railways
Na
South Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,4500,10-12-2018 12:55:pm,21-12-2018 11:00:am,Technical Evaluation,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Railways
Na
Kapurthala Rail Coach Factory Kapurthala",Power Cable For Direct Burial Xlpe Ugac Cable,2000,08-12-2018 08:36:am,21-12-2018 11:00:am,Technical Evaluation,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:25:pm,19-12-2018 03:00:pm,Financial Evaluation,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:22:pm,19-12-2018 03:00:pm,Technical Evaluation,BID NO: GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:23:pm,18-12-2018 03:00:pm,Technical Evaluation,BID NO: GEM/2018/B/131824,https://bidplus.gem.gov.in/showbidDocument/950905
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",Power Cable For Direct Burial Xlpe Ugac Cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:21:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",Power Cable For Direct Burial Xlpe Ugac Cable,1000,15-12-2018 09:25:am,25-12-2018 02:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,13-12-2018 06:45:pm,24-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Stores Ncr Hq N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1200,11-12-2018 03:37:pm,24-12-2018 12:00:pm,Technical Evaluation,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
South Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,10-12-2018 06:15:pm,24-12-2018 11:00:am,Technical Evaluation,BID NO: GEM/2018/B/137723,
"Ministry Of Home Affairs
Central Armed Police Forces
Chandigarh Border Security Force (bsf)",Power Cable For Direct Burial Xlpe Ugac Cable,400,12-12-2018 06:21:pm,24-12-2018 10:00:am,Financial Evaluation,BID NO: GEM/2018/B/137723,
"Ministry Of Petroleum And Natural Gas
Indian Oil Corporation Limited
Iocl Marketing Sro Sankari Terminal Marketing Division",Power Cable For Direct Burial Xlpe Ugac Cable,1200,12-12-2018 04:53:pm,22-12-2018 07:00:pm,Bid Award,BID NO: GEM/2018/B/135617,
"Ministry Of Defence
Department Of Defence
Commander Works Engineer, Bathinda N/a","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable",855,12-12-2018 01:21:pm,22-12-2018 03:00:pm,Bid Award,BID NO: GEM/2018/B/135617,
"Ministry Of Railways
Na
Stores Ncr Hq N/a",Power Cable For Direct Burial Xlpe Ugac Cable,600,11-12-2018 05:28:pm,21-12-2018 08:00:pm,Not Evaluated,BID NO: GEM/2018/B/135617,
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",power cable for direct burial xlpe ugac cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",power cable for direct burial xlpe ugac cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Western Railway N/a",power cable for direct burial xlpe ugac cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",power cable for direct burial xlpe ugac cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,BID NO: GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723
