"Ministry Of Power
Na
Bhakra Beas Management Board, Chandigarh N/a",power cable for direct burial xlpe ugac cable,250,17-12-2018 03:13:pm,28-12-2018 11:00:am,Not Evaluated,GEM/2018/B/138428,https://bidplus.gem.gov.in/showbidDocument/1001099,1001099,120.0,120.0,3.5,3.5
"Ministry Of Railways
Na
South Eastern Railway N/a",power cable for direct burial xlpe ugac cable,500,17-12-2018 06:01:pm,28-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/138715,https://bidplus.gem.gov.in/showbidDocument/1003262,1003262,240.0,*,4,"1, 2, 3.5, 4"
"Ministry Of Railways
Na
Southern Railway N/a",power cable for direct burial xlpe ugac cable,500,17-12-2018 07:37:pm,28-12-2018 10:00:am,Not Evaluated,GEM/2018/B/138972,https://bidplus.gem.gov.in/showbidDocument/1005124,1005124,50.0,50.0,4,4
"Ministry Of Railways
Na
Diesel Loco Modernisation Works, Patiala N/a",power cable for direct burial xlpe ugac cable,2000,17-12-2018 10:15:am,27-12-2018 09:00:pm,Not Evaluated,GEM/2018/B/137723,https://bidplus.gem.gov.in/showbidDocument/995723,995723,300.0,300.0,4,4
"Ministry Of Human Resource Development
Department Of Higher Education
Kharagpur Indian Institute Of Technology (iit)",power cable for direct burial xlpe ugac cable,525,17-12-2018 10:23:am,27-12-2018 01:00:pm,Bid Award,GEM/2018/B/136163,https://bidplus.gem.gov.in/showbidDocument/983921,983921,10.0,*,4,"1, 2, 3.5, 4"
"Ministry Of Railways
Na
Western Railway N/a",power cable for direct burial xlpe ugac cable,12275,17-12-2018 10:06:am,27-12-2018 01:00:pm,Financial Evaluation,GEM/2018/B/136861,https://bidplus.gem.gov.in/showbidDocument/989185,989185,70.0,70.0,2,2
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",power cable for direct burial xlpe ugac cable,1000,15-12-2018 09:21:am,25-12-2018 02:00:pm,Not Evaluated,GEM/2018/B/137262,https://bidplus.gem.gov.in/showbidDocument/992167,992167,35.0,35.0,3.5,3.5
"Ministry Of Defence
Department Of Defence Production And Supply
Kanpur/accessories Complex Hindustan Aeronautics Limited (hal)",power cable for direct burial xlpe ugac cable,1000,15-12-2018 09:25:am,25-12-2018 02:00:pm,Not Evaluated,GEM/2018/B/137446,https://bidplus.gem.gov.in/showbidDocument/993595,993595,16.0,16.0,4,4
"Ministry Of Railways
Na
Western Railway N/a",power cable for direct burial xlpe ugac cable,2000,13-12-2018 06:45:pm,24-12-2018 09:00:pm,Bid Award,GEM/2018/B/136710,https://bidplus.gem.gov.in/showbidDocument/988072,988072,240.0,240.0,4,4
"Ministry Of Railways
Na
Stores Ncr Hq N/a",power cable for direct burial xlpe ugac cable,1200,11-12-2018 03:37:pm,24-12-2018 12:00:pm,Technical Evaluation,GEM/2018/B/134951,https://bidplus.gem.gov.in/showbidDocument/974723,974723,35.0,35.0,4,4
"Ministry Of Railways
Na
South Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,10-12-2018 06:15:pm,24-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/134434,https://bidplus.gem.gov.in/showbidDocument/970747,970747,70.0,*,4,"1, 2, 3.5, 4"
"Ministry Of Home Affairs
Central Armed Police Forces
Chandigarh Border Security Force (bsf)",Power Cable For Direct Burial Xlpe Ugac Cable,400,12-12-2018 06:21:pm,24-12-2018 10:00:am,Financial Evaluation,GEM/2018/B/135750,https://bidplus.gem.gov.in/showbidDocument/980813,980813,50.0,50.0,3.5,3.5
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,12-12-2018 05:26:pm,22-12-2018 08:00:pm,Not Evaluated,GEM/2018/B/135695,https://bidplus.gem.gov.in/showbidDocument/980393,980393,70.0,70.0,3.5,3.5
"Ministry Of Petroleum And Natural Gas
Indian Oil Corporation Limited
Iocl Marketing Sro Sankari Terminal Marketing Division",Power Cable For Direct Burial Xlpe Ugac Cable,1200,12-12-2018 04:53:pm,22-12-2018 07:00:pm,Bid Award,GEM/2018/B/135617,https://bidplus.gem.gov.in/showbidDocument/979805,979805,35.0,35.0,3.5,3.5
"Ministry Of Defence
Department Of Defence
Commander Works Engineer, Bathinda N/a","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable",855,12-12-2018 01:21:pm,22-12-2018 03:00:pm,Bid Award,GEM/2018/B/135446,https://bidplus.gem.gov.in/showbidDocument/978510,978510,50.0,50.0,3.5,3.5
"Ministry Of Railways
Na
Stores Ncr Hq N/a",Power Cable For Direct Burial Xlpe Ugac Cable,600,11-12-2018 05:28:pm,21-12-2018 08:00:pm,Not Evaluated,GEM/2018/B/135118,https://bidplus.gem.gov.in/showbidDocument/975997,975997,120.0,120.0,4,4
